FID	IID	Fhom
0	NA19083	0.07773
0	NA19084	0.08915
0	NA19085	0.06738
0	NA19087	0.07456
0	NA19088	0.08777
0	NA19093	0.008809
0	NA19095	-0.01378
0	NA19096	-0.01627
0	NA19098	0.03851
0	NA19099	0.006609
0	NA19102	0.01788
0	NA19107	0.03906
0	NA19108	0.01621
0	NA19113	0.004785
0	NA19114	0.01865
0	NA19116	0.01695
0	NA19117	-0.00361
0	NA19118	-0.01215
0	NA19119	0.04121
0	NA19121	-0.01668
0	NA19129	0.02157
0	NA19130	0.003067
0	NA19131	0.035
0	NA19137	0.03544
0	NA19138	0.02001
0	NA19146	-0.02204
0	NA19147	0.02326
0	NA19149	-0.01698
0	NA19150	-0.0284
0	NA19152	0.04052
0	NA19160	0.0305
0	NA19171	0.04501
0	NA19172	0.0127
0	NA19175	-0.01977
0	NA19185	-0.02132
0	NA19189	0.05078
0	NA19190	0.01042
0	NA19197	0.02361
0	NA19198	0.03442
0	NA19200	0.04361
0	NA19204	0.04493
0	NA19207	0.0361
0	NA19209	0.03964
0	NA19213	-0.009804
0	NA19222	-0.01131
0	NA19223	0.02227
0	NA19225	0.01714
0	NA19235	0.01502
0	NA19236	0.01883
0	NA19247	0.02269
0	NA19248	0.009276
0	NA19256	0.03734
0	NA19257	0.01796
0	NA19307	-0.03643
0	NA19308	-0.0292
0	NA19309	-0.02469
0	NA19310	-0.02373
0	NA19311	0.001379
0	NA19312	-0.008387
0	NA19313	-0.006081
0	NA19315	0.006518
0	NA19316	0.002856
0	NA19317	0.00789
0	NA19318	0.01197
0	NA19319	0.01342
0	NA19321	0.01283
0	NA19324	0.0261
0	NA19327	0.01648
0	NA19328	0.03214
0	NA19331	-0.01972
0	NA19332	-0.001047
0	NA19334	-0.008719
0	NA19338	0.009397
0	NA19346	0.001153
0	NA19347	-0.01374
0	NA19350	-0.01458
0	NA19351	-0.02209
0	NA19352	-0.04501
0	NA19355	-0.002946
0	NA19359	-0.0006255
0	NA19360	0.007724
0	NA19371	0.001665
0	NA19372	0.01173
0	NA19373	-0.008191
0	NA19374	-0.006021
0	NA19375	0.007091
0	NA19376	-0.00789
